2012 Lower Deer Point Meteorological Hourly Data (Summary),,,,,,,,
,,,,,,,,
Dataset Reference Format,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,
,,,,,,,,
Dataset Header Description,,,,,,,,
,Column.Variable-units| Description,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Instantaneous [cm]",,,,,,,
,Note: -6999 denotes missing data,,,,,,,
,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm
1/1/2012 0:00,0,-4.5,0,-11.71,57.54,112.9,3,14.5
1/1/2012 1:00,0,-4.9,0,-19.65,53.36,83.9,4.5,14.2
1/1/2012 2:00,0,-3.9,0,-8.36,53.82,149.1,0.2,14.5
1/1/2012 3:00,0,-3.9,0,-20.9,53.84,110.2,2.1,14.2
1/1/2012 4:00,0,-3.3,0,-8.36,50.89,103.1,2.2,14.2
1/1/2012 5:00,0,-3.5,0,-6.27,56.14,91.4,3.4,14.2
1/1/2012 6:00,0,-2.9,0,-2.93,52.63,128.2,3,14.5
1/1/2012 7:00,0,-3,0,-2.72,54.16,115,2.6,14.2
1/1/2012 8:00,0,-2.7,0,-5.02,52.03,81.7,3.9,14.2
1/1/2012 9:00,0,-2.5,13.19,1.46,53.43,119,2.4,14.2
1/1/2012 10:00,0,-1.8,97.9,1.05,55.22,85.7,4.1,13.9
1/1/2012 11:00,0,0.8,310.5,97.4,44.81,83.9,4.3,13.9
1/1/2012 12:00,0,2.2,346.9,112.2,41.54,124.4,4.4,13.7
1/1/2012 13:00,0,2.6,377.8,125.3,43.08,100.1,3.3,13.9
1/1/2012 14:00,0,2.8,299.3,111.9,47.44,141.1,1.6,13.7
1/1/2012 15:00,0,3.4,275.6,88.1,42.52,77.6,2.4,13.1
1/1/2012 16:00,0,2.3,142.8,13.99,40.64,98.9,4.2,12.9
1/1/2012 17:00,0,1,12.3,-53.24,47.17,105.7,4.6,12.7
1/1/2012 18:00,0,1.8,0,-53.47,35.86,147,5.4,12.3
1/1/2012 19:00,0,2.7,0,-58.9,36.11,93.5,7.2,12.3
1/1/2012 20:00,0,2.9,0,-50.75,39.5,82.8,4.5,12.3
1/1/2012 21:00,0,3.5,0,-56.81,50.19,115.6,6.2,12.3
1/1/2012 22:00,0,3.8,0,-58.9,51.84,116.7,6.2,12.7
1/1/2012 23:00,0.02,4.5,0,-60.57,50.29,118.8,6,12.5
1/2/2012 0:00,0.04,4.9,0,-61.19,51.12,79.6,6.9,12
1/2/2012 1:00,0.06,5.2,0,-59.09,50.84,92.5,9.8,12
1/2/2012 2:00,0.06,5,0,-68.9,51.52,123.9,5.8,12
1/2/2012 3:00,0.06,5.1,0,-61.8,52.79,110.6,8.4,12.7
1/2/2012 4:00,0.06,4.8,0,-62.63,54.04,90.6,8.7,12
1/2/2012 5:00,0.06,4.7,0,-61.59,49.66,111.1,6.4,12.4
1/2/2012 6:00,0.06,4.8,0,-68.9,44.71,52.2,7.3,12
1/2/2012 7:00,0.06,4.2,0,-67.86,44.8,63.7,7.1,12.4
1/2/2012 8:00,0.06,4.7,0,-63.27,39.95,72.4,6.2,12.7
1/2/2012 9:00,0.06,5.5,91.2,-15.87,38.12,117.3,7.9,12.4
1/2/2012 10:00,0.06,5.1,161,22.55,40.76,86.1,5.3,11.9
1/2/2012 11:00,0.06,7.4,364.3,144.9,34.25,128,5.2,11.8
1/2/2012 12:00,0.06,6.1,263.7,86.2,37.21,114.9,6,12.1
1/2/2012 13:00,0.06,5.5,149.1,43.42,38.25,113,3.4,11.8
1/2/2012 14:00,0.06,5.9,107.6,24.01,33.44,98.3,6.3,11.6
1/2/2012 15:00,0.06,6.1,38.65,-3.55,33.13,122.8,4.5,10.7
1/2/2012 16:00,0.06,6.7,52.71,1.04,30.41,128.1,5.5,11.6
1/2/2012 17:00,0.06,6.8,3.29,-34.24,32.73,111.4,4.6,11.1
1/2/2012 18:00,0.06,7.9,0,-49.89,28.33,138.9,5.7,11.8
1/2/2012 19:00,0.06,7.9,0,-45.3,31.09,123.7,4.3,11.1
1/2/2012 20:00,0.06,8.1,0,-45.51,29.31,130.1,2.9,11.4
1/2/2012 21:00,0.11,7.8,0,-52.19,30.27,141.6,4.5,11.1
1/2/2012 22:00,0.11,7.2,0,-63.46,32.1,190.6,2,11.4
1/2/2012 23:00,0.11,5.8,0,-65.97,34.49,166.6,1.4,12.1
1/3/2012 0:00,0.11,5.4,0,-61.59,35.15,244.9,1.8,12
1/3/2012 1:00,0.11,5,0,-39.46,36.31,242.2,2.6,12
1/3/2012 2:00,0.11,4,0,-39.47,45.91,270,3.4,12.2
1/3/2012 3:00,0.11,3.9,0,-34.04,43.11,279.6,3.6,12.4
1/3/2012 4:00,0.11,3.2,0,-51.59,45.6,294,3,12
1/3/2012 5:00,0.11,2.2,0,-48.04,51.91,334.2,3.5,12.3
1/3/2012 6:00,0.11,1.8,0,-29.03,56.7,318,2.4,12.3
1/3/2012 7:00,0.11,2.4,0,-58.27,57.37,323.7,2,12.3
1/3/2012 8:00,0.11,1.9,0,-65.58,57.89,313.9,1.5,12.3
1/3/2012 9:00,0.11,2.8,61.52,-27.99,54.73,21.9,0.9,11.6
1/3/2012 10:00,0.11,5,205.5,58.06,49.64,342.6,0.7,10.8
1/3/2012 11:00,0.11,4.9,295,114.6,49.35,264.3,0.2,11.7
1/3/2012 12:00,0.11,5.8,366.4,169.5,49.86,308.5,1.4,10.8
1/3/2012 13:00,0.11,5.5,394.8,186.8,52.73,267.5,1.3,11.8
1/3/2012 14:00,0.11,5.8,326.4,155.9,51.93,246.5,1.7,10.3
1/3/2012 15:00,0.11,6.1,275.1,120,49.93,313.3,1.7,10.2
