2014 Lower Deer Point Meteorological Hourly Data (Summary),,,,,,,,
,,,,,,,,
Dataset Reference Format,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,
,,,,,,,,
Dataset Header Description,,,,,,,,
,Column.Variable-units| Description,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Instantaneous [cm]",,,,,,,
,Note: -6999 denotes missing data,,,,,,,
,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm
1/1/2014 0:00,0,-1.5,0.00,-17.97,94.90,1.1,6.44,19.28
1/1/2014 1:00,0,-2.2,0.00,-74.00,92.80,126.6,3.42,19.13
1/1/2014 2:00,0,-1.7,0.00,-66.44,76.80,37.4,3.42,19.00
1/1/2014 3:00,0,-2.4,0.00,-68.13,79.50,58.6,3.08,18.88
1/1/2014 4:00,0,-3.0,0.00,-65.83,89.30,16.1,4.09,18.77
1/1/2014 5:00,0,-2.3,0.00,-58.10,73.00,2.7,2.75,18.67
1/1/2014 6:00,0,-2.5,0.00,-61.03,78.70,220.8,3.75,18.59
1/1/2014 7:00,0,-1.9,0.00,-56.43,75.80,282.3,2.75,18.51
1/1/2014 8:00,0,-2.1,0.00,-60.61,75.60,67.8,5.77,18.45
1/1/2014 9:00,0,-2.0,53.20,-52.67,77.30,345.1,7.11,18.38
1/1/2014 10:00,0,-0.4,157.40,-6.48,67.42,174.0,2.41,18.28
1/1/2014 11:00,0,1.2,302.60,63.92,61.94,21.7,2.41,18.18
1/1/2014 12:00,0,1.1,33.17,124.50,60.82,318.4,5.77,18.07
1/1/2014 13:00,0,1.7,126.10,104.80,70.80,211.6,3.08,18.00
1/1/2014 14:00,0,1.7,351.20,93.30,70.40,179.1,3.08,17.99
1/1/2014 15:00,0,1.0,254.50,41.33,75.70,253.9,2.75,18.03
1/1/2014 16:00,0,0.8,129.80,-7.93,76.40,242.2,3.75,18.10
1/1/2014 17:00,0,0.8,11.20,-52.41,53.68,18.7,2.75,18.19
1/1/2014 18:00,0,0.6,0.00,-58.69,49.01,100.4,0.40,18.28
1/1/2014 19:00,0,0.0,0.00,-55.36,56.09,139.6,0.40,18.38
1/1/2014 20:00,0,0.2,0.00,-51.39,51.95,218.8,0.40,18.45
1/1/2014 21:00,0,0.3,0.00,-38.86,68.57,209.8,1.41,18.48
1/1/2014 22:00,0,-0.1,0.00,-42.20,59.86,148.2,0.40,18.48
1/1/2014 23:00,0,-0.2,0.00,-42.20,64.75,87.0,3.42,18.49
1/2/2014 0:00,0,-0.1,0.00,-40.95,66.09,70.6,2.75,18.51
1/2/2014 1:00,0,0.3,0.00,-49.72,58.81,102.2,1.74,18.58
1/2/2014 2:00,0,-0.5,0.00,-34.68,66.17,110.0,3.08,18.69
1/2/2014 3:00,0,-0.7,0.00,-21.31,64.82,107.0,3.75,18.82
1/2/2014 4:00,0,-0.2,0.00,-40.74,60.40,98.2,3.75,18.94
1/2/2014 5:00,0,-0.3,0.00,-54.32,83.40,101.8,2.08,19.01
1/2/2014 6:00,0,-0.9,0.00,-50.56,76.10,122.2,2.41,19.05
1/2/2014 7:00,0,-0.5,0.00,-44.08,84.90,123.7,4.76,19.05
1/2/2014 8:00,0,-0.8,0.00,-51.40,83.10,108.8,2.75,18.98
1/2/2014 9:00,0,1.3,58.02,-42.20,69.92,146.2,2.41,18.85
1/2/2014 10:00,0,2.3,193.20,5.01,66.21,154.1,5.43,18.68
1/2/2014 11:00,0,2.8,284.50,62.24,67.26,98.9,2.08,18.52
1/2/2014 12:00,0,3.3,31.41,94.80,63.67,155.7,3.42,18.38
1/2/2014 13:00,0,3.2,118.80,141.10,65.19,153.8,3.75,18.29
1/2/2014 14:00,0,4.5,357.30,117.10,61.84,135.5,2.75,18.26
1/2/2014 15:00,0,4.6,287.00,75.60,62.60,117.6,1.41,18.26
1/2/2014 16:00,0,5.7,159.10,2.71,59.88,140.0,2.08,18.28
1/2/2014 17:00,0,2.2,24.81,-54.06,71.80,107.3,3.08,18.29
1/2/2014 18:00,0,1.6,0.00,-57.00,73.20,102.0,2.08,18.31
1/2/2014 19:00,0,2.1,0.00,-36.34,70.40,141.2,1.74,18.34
1/2/2014 20:00,0,1.6,0.00,-56.39,72.40,99.6,5.43,18.35
1/2/2014 21:00,0,2.2,0.00,-48.87,69.27,49.0,5.10,18.35
1/2/2014 22:00,0,2.3,0.00,-28.61,68.60,83.2,6.44,18.36
1/2/2014 23:00,0,2.6,0.00,-44.49,67.92,97.8,7.44,18.37
1/3/2014 0:00,0,2.6,0.00,-51.38,65.73,47.6,8.45,18.41
1/3/2014 1:00,0,2.9,0.00,-10.23,64.09,54.5,9.79,18.46
1/3/2014 2:00,0,3.3,0.00,-10.86,62.36,28.5,5.43,18.52
1/3/2014 3:00,0,3.9,0.00,-13.16,60.13,16.2,4.76,18.57
1/3/2014 4:00,0,3.3,0.00,-9.61,62.82,30.6,5.77,18.60
1/3/2014 5:00,0,2.8,0.00,-7.52,63.96,114.2,4.43,18.60
1/3/2014 6:00,0,2.7,0.00,-9.40,64.94,230.1,6.77,18.58
1/3/2014 7:00,0,1.6,0.00,-8.35,71.90,93.8,7.44,18.51
1/3/2014 8:00,0,1.0,0.00,-8.77,74.20,79.4,9.79,18.38
1/3/2014 9:00,0,0.1,18.67,2.72,78.50,41.8,11.80,18.21
1/3/2014 10:00,0,0.0,130.80,51.80,80.20,252.4,15.16,18.03
1/3/2014 11:00,0,0.1,427.80,179.60,80.40,76.8,11.13,17.89
1/3/2014 12:00,0,-0.3,41.30,132.20,72.80,263.3,19.52,17.81
1/3/2014 13:00,0,0.0,107.20,141.80,76.20,159.3,6.44,17.80
1/3/2014 14:00,0,-0.5,385.90,120.10,59.02,8.6,14.49,17.86
