2013 Lower Weather Meterological Hourly Data (Summary),,,,,,,,
,,,,,,,,
Reference Dataset with the following format:,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,
,,,,,,,,
,,,,,,,,
,Column.Variable-units| Description,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,
,Note: -6999 denotes missing data,,,,,,,
,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm
1/1/2013 0:00,0,-10.7,0,-7.69,81.2,-6999,-6999,0.45
1/1/2013 1:00,0,-10.8,0,-7.9,81.1,-6999,-6999,0.63
1/1/2013 2:00,0,-11.1,0,-9.61,82.4,-6999,-6999,0.79
1/1/2013 3:00,0,-11.3,0,-15.6,83.7,-6999,-6999,0.77
1/1/2013 4:00,0,-11.7,0,-10.68,84.7,-6999,-6999,0.76
1/1/2013 5:00,0,-11.8,0,-7.91,84.9,-6999,-6999,0.59
1/1/2013 6:00,0,-11.1,0,-7.05,83.6,-6999,-6999,0.78
1/1/2013 7:00,0,-11,0,-12.82,83.2,-6999,-6999,0.8
1/1/2013 8:00,0,-10.2,0.09,-7.69,88,-6999,-6999,0.8
1/1/2013 9:00,0,-10,15.44,-8.76,91.6,-6999,-6999,0.8
1/1/2013 10:00,0,-9.8,72.3,-6.83,94.8,-6999,-6999,0.65
1/1/2013 11:00,0,-9.5,150.1,-18.36,95,-6999,-6999,0.32
1/1/2013 12:00,0,-9.1,172.5,-21.14,94.8,-6999,-6999,0.32
1/1/2013 13:00,0,-8.6,171.9,-23.69,93.4,-6999,-6999,0
1/1/2013 14:00,0,-8.6,146.5,-15.37,93.9,-6999,-6999,0
1/1/2013 15:00,0,-8.5,76.4,4.48,93.2,-6999,-6999,0
1/1/2013 16:00,0,-9,44.21,-5.12,96,-6999,-6999,0.33
1/1/2013 17:00,0,-9.1,7.49,-1.28,96.3,-6999,-6999,0.15
1/1/2013 18:00,0,-9.2,0,-3.2,96.8,-6999,-6999,0.15
1/1/2013 19:00,0,-9.3,0,-1.5,96.2,-6999,-6999,0.49
1/1/2013 20:00,0,-9.4,0,-3.63,95.9,-6999,-6999,0.49
1/1/2013 21:00,0,-9.6,0,-4.27,94.9,-6999,-6999,0.32
1/1/2013 22:00,0,-9.8,0,-4.27,93.2,-6999,-6999,0.49
1/1/2013 23:00,0,-10.1,0,-4.06,92.6,-6999,-6999,0.48
1/2/2013 0:00,0,-10.3,0,-5.98,92.1,-6999,-6999,0.47
1/2/2013 1:00,0,-10.5,0,-1.71,95.7,-6999,-6999,0.63
1/2/2013 2:00,0,-10.7,0,-7.47,96.1,-6999,-6999,0.63
1/2/2013 3:00,0,-10.6,0,-6.19,95.6,-6999,-6999,0.63
1/2/2013 4:00,0,-10.4,0,-5.13,95.2,-6999,-6999,0.8
1/2/2013 5:00,0,-10.4,0,-2.99,94,-6999,-6999,0.8
1/2/2013 6:00,0,-10.6,0,-2.99,92.5,-6999,-6999,0.63
1/2/2013 7:00,0,-10.7,0,-5.98,90.7,-6999,-6999,0.63
1/2/2013 8:00,0,-10.6,0,-7.69,89.3,-6999,-6999,0.63
1/2/2013 9:00,0,-10.3,12.5,-8.12,93.7,-6999,-6999,0.63
1/2/2013 10:00,0,-10,52.95,-0.21,94.9,-6999,-6999,0.64
1/2/2013 11:00,0,-10,119.1,-5.98,94,-6999,-6999,0.49
1/2/2013 12:00,0,-9.8,163,-38.43,92.4,-6999,-6999,0.83
1/2/2013 13:00,0,-9.5,190.6,-6.83,91.2,-6999,-6999,0.32
1/2/2013 14:00,0,-8.6,236.7,-20.28,78.3,-6999,-6999,0.5
1/2/2013 15:00,0,-7.5,190.2,-36.28,68.23,-6999,-6999,0.87
1/2/2013 16:00,0,-6.7,94.2,-19.84,65.65,-6999,-6999,1.24
1/2/2013 17:00,0,-8,33,-9.6,71,-6999,-6999,0.87
1/2/2013 18:00,0,-9.6,0,-3.63,81.9,-6999,-6999,0
1/2/2013 19:00,0,-10.9,0,-8.54,87.5,-6999,-6999,0.8
1/2/2013 20:00,0,-11,0,-8.97,88.8,-6999,-6999,1.14
1/2/2013 21:00,0,-10.4,0,-6.41,84.1,-6999,-6999,1.48
1/2/2013 22:00,0,-10.5,0,-8.97,85,-6999,-6999,1.14
1/2/2013 23:00,0,-10.9,0,-9.18,86.2,-6999,-6999,1.14
1/3/2013 0:00,0,-11.4,0,-0.43,86,-6999,-6999,0.63
1/3/2013 1:00,0,-12.6,0,-5.13,85.2,-6999,-6999,0.43
1/3/2013 2:00,0,-12.8,0,-0.86,83.4,-6999,-6999,0
1/3/2013 3:00,0,-13.2,0,-3.63,84,-6999,-6999,0
1/3/2013 4:00,0,-13.3,0,-5.77,84.6,-6999,-6999,0.08
1/3/2013 5:00,0,-13.6,0,-11.11,86,-6999,-6999,1.09
1/3/2013 6:00,0,-13.4,0,-0.86,86,-6999,-6999,1.09
1/3/2013 7:00,0,-13.8,0,1.71,86.5,-6999,-6999,1.08
1/3/2013 8:00,0,-13.6,0.14,-4.92,86.1,-6999,-6999,1.42
1/3/2013 9:00,0,-13.8,29.8,-9.62,86.4,-6999,-6999,1.08
1/3/2013 10:00,0,-10.3,174.6,-11.54,74.8,-6999,-6999,1.46
1/3/2013 11:00,0,-10.3,287.3,-11.53,78.6,-6999,-6999,1.34
1/3/2013 12:00,0,-10.6,352.2,-26.89,82.6,-6999,-6999,1.38
1/3/2013 13:00,0,-10.3,289.1,-3.84,83.7,-6999,-6999,0.87
1/3/2013 14:00,0,-8.8,339,29.87,77.9,-6999,-6999,0.53
1/3/2013 15:00,0,-7.8,224.7,-10.24,74.5,-6999,-6999,1.25
