2014 Lower Weather Meterological Hourly Data (Summary),,,,,,,,,,,,
,,,,,,,,,,,,
Reference Dataset with the following format:,,,,,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Column.Variable-units| Description,,,,,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,,,,,
,Note: -6999 denotes missing data,,,,,,,,,,,
,,,,,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm,,,,
1/1/2014 0:00,0,-1.7,0,-6999,93.2,211.3,1.06,2.1,,,,
1/1/2014 1:00,0,-2.7,0,-6999,98,128.9,0.05,1.76,,,,
1/1/2014 2:00,0,-3.1,0,-6999,98.4,211.2,0.89,1.59,,,,
1/1/2014 3:00,0,-3.2,0,-6999,99.4,78.3,0.68,1.24,,,,
1/1/2014 4:00,0,-1.7,0,-6999,92.9,77.8,0.25,1.42,,,,
1/1/2014 5:00,0,-2,0,-6999,90.9,195.7,0.55,1.25,,,,
1/1/2014 6:00,0,-3,0,-6999,95.9,74.3,2.31,1.25,,,,
1/1/2014 7:00,0,-2.2,0,-6999,85.7,87.3,3.12,1.42,,,,
1/1/2014 8:00,0,-2.1,0.31,-6999,80.7,87.4,3.49,-6999,,,,
1/1/2014 9:00,0,-0.8,23.74,-6999,74.9,52.6,3.58,-6999,,,,
1/1/2014 10:00,0,-0.2,187.1,-6999,78.8,157,1.34,-6999,,,,
1/1/2014 11:00,0,1.7,276.8,-6999,75.3,129.1,0.76,-6999,,,,
1/1/2014 12:00,0,0.9,350.3,-6999,89.7,232.1,2.91,-6999,,,,
1/1/2014 13:00,0,2.7,370,-6999,80.8,235.1,2.05,-6999,,,,
1/1/2014 14:00,0,3.4,335.3,-6999,73.6,231.3,2,-6999,,,,
1/1/2014 15:00,0,3.8,230.4,-6999,71.4,222.4,2.52,-6999,,,,
1/1/2014 16:00,0,4.4,132.4,-6999,67.06,219.7,1.44,-6999,,,,
1/1/2014 17:00,0,2.2,18.03,-6999,77.1,209.6,1.75,-6999,,,,
1/1/2014 18:00,0,0.1,0,-6999,85.5,152.2,1.46,-6999,,,,
1/1/2014 19:00,0,-1,0,-6999,89.3,92.3,2.12,-6999,,,,
1/1/2014 20:00,0,-0.9,0,-6999,87,88.1,3.16,1.77,,,,
1/1/2014 21:00,0,-0.6,0,-6999,83.7,77.6,3.15,1.77,,,,
1/1/2014 22:00,0,-0.7,0,-6999,82.1,90,2.71,-6999,,,,
1/1/2014 23:00,0,-1.1,0,-6999,83.3,79.5,3.51,-6999,,,,
1/2/2014 0:00,0,-1.1,0,-6999,84.5,65.6,2.85,-6999,,,,
1/2/2014 1:00,0,-1,0,-6999,83.7,97.6,1.82,-6999,,,,
1/2/2014 2:00,0,-1.5,0,-6999,84.1,82.5,3.33,-6999,,,,
1/2/2014 3:00,0,-1.1,0,-6999,82.9,70.5,3.06,-6999,,,,
1/2/2014 4:00,0,-1,0,-6999,83.7,83.9,2.28,-6999,,,,
1/2/2014 5:00,0,-1.3,0,-6999,83.9,70.5,2.28,-6999,,,,
1/2/2014 6:00,0,-2.6,0,-6999,88.7,109.1,2.21,-6999,,,,
1/2/2014 7:00,0,-2.6,0,-6999,86.5,98.9,2.44,-6999,,,,
1/2/2014 8:00,0,-3.3,0.21,-6999,90.4,124.7,1.65,-6999,,,,
1/2/2014 9:00,0,-4,22.5,-6999,96.3,138.1,0.99,-6999,,,,
1/2/2014 10:00,0,-2.7,221.9,-6999,94.6,136.2,1.39,-6999,,,,
1/2/2014 11:00,0,-0.4,254.3,-6999,81.5,250,0.43,-6999,,,,
1/2/2014 12:00,0,-0.6,333.9,-6999,85.7,257.5,2.22,-6999,,,,
1/2/2014 13:00,0,0.1,361.7,-6999,84,247.9,2.14,-6999,,,,
1/2/2014 14:00,0,0.7,334.8,-6999,80.6,251.4,2.16,-6999,,,,
1/2/2014 15:00,0,1.2,251.9,-6999,76.1,240.5,2.61,-6999,,,,
1/2/2014 16:00,0,0.9,79.9,-6999,75.9,255.6,2.33,-6999,,,,
1/2/2014 17:00,0,-0.2,16.3,-6999,80.5,214.2,1.17,-6999,,,,
1/2/2014 18:00,0,-1.8,0,-6999,87.5,111.2,0.85,-6999,,,,
1/2/2014 19:00,0,-1.7,0,-6999,88.4,88.6,2.14,-6999,,,,
1/2/2014 20:00,0,-1.3,0,-6999,88.9,82.1,3.81,-6999,,,,
1/2/2014 21:00,0,-1.3,0,-6999,89.3,100.9,2.02,-6999,,,,
1/2/2014 22:00,0,-1.3,0,-6999,90,95.5,2.84,-6999,,,,
1/2/2014 23:00,0,-0.4,0,-6999,87.2,77.8,3.44,-6999,,,,
1/3/2014 0:00,0,0.1,0,-6999,84.9,81.6,3.47,-6999,,,,
1/3/2014 1:00,0,-0.9,0,-6999,88.3,98.3,0.54,-6999,,,,
1/3/2014 2:00,0,-1.2,0,-6999,90.5,161.4,0.5,-6999,,,,
1/3/2014 3:00,0,-2.1,0,-6999,91.7,264.7,1.84,-6999,,,,
1/3/2014 4:00,0,-0.9,0,-6999,87.9,116.1,1.14,-6999,,,,
1/3/2014 5:00,0,-0.3,0,-6999,86.5,74.9,0.64,-6999,,,,
1/3/2014 6:00,0,-0.8,0,-6999,88,222.5,0.99,-6999,,,,
1/3/2014 7:00,0,-0.2,0,-6999,86.4,126.9,0.3,-6999,,,,
1/3/2014 8:00,0,-0.3,0,-6999,89.2,238.1,1.35,-6999,,,,
1/3/2014 9:00,0,-2.1,17.67,-6999,94.8,340.5,0.67,-6999,,,,
