date,mintemp
2070-01-01,-2.35
2070-01-02,-2.95
2070-01-03,-3.05
2070-01-04,-2.96
2070-01-05,-3.11
2070-01-06,-2.59
2070-01-07,-3.71
2070-01-08,-3.81
2070-01-09,-4.21
2070-01-10,-3.79
2070-01-11,-3.32
2070-01-12,-2.03
2070-01-13,-1.55
2070-01-14,-2.20
2070-01-15,-2.79
2070-01-16,-3.06
2070-01-17,-3.78
2070-01-18,-2.45
2070-01-19,-2.47
2070-01-20,-2.52
2070-01-21,-3.26
2070-01-22,-2.97
2070-01-23,-2.99
2070-01-24,-3.01
2070-01-25,-2.84
2070-01-26,-3.36
2070-01-27,-2.86
2070-01-28,-1.50
2070-01-29,0.09
2070-01-30,0.26
2070-01-31,0.65
2070-02-01,-0.39
2070-02-02,-0.09
2070-02-03,-0.07
2070-02-04,0.45
2070-02-05,1.27
2070-02-06,0.91
2070-02-07,0.48
2070-02-08,-0.93
2070-02-09,-1.40
2070-02-10,0.71
2070-02-11,0.84
2070-02-12,-1.01
2070-02-13,-0.81
2070-02-14,0.64
2070-02-15,1.10
2070-02-16,1.07
2070-02-17,1.20
2070-02-18,2.06
2070-02-19,0.02
2070-02-20,0.33
2070-02-21,0.66
2070-02-22,-0.12
2070-02-23,0.38
2070-02-24,0.59
2070-02-25,1.12
2070-02-26,1.42
2070-02-27,0.25
2070-02-28,0.09
2070-03-01,1.78
2070-03-02,4.73
2070-03-03,3.89
2070-03-04,2.72
2070-03-05,2.33
2070-03-06,3.17
2070-03-07,2.31
2070-03-08,2.64
2070-03-09,2.19
2070-03-10,1.30
2070-03-11,1.54
2070-03-12,1.52
2070-03-13,2.27
2070-03-14,2.55
2070-03-15,2.04
2070-03-16,1.67
2070-03-17,2.37
2070-03-18,2.80
2070-03-19,4.08
2070-03-20,2.35
2070-03-21,1.80
2070-03-22,2.18
2070-03-23,3.34
2070-03-24,3.37
2070-03-25,2.54
2070-03-26,1.72
2070-03-27,0.54
2070-03-28,1.31
2070-03-29,0.12
2070-03-30,1.74
2070-03-31,1.88
2070-04-01,2.24
2070-04-02,2.38
2070-04-03,2.31
2070-04-04,2.78
2070-04-05,2.27
2070-04-06,2.88
2070-04-07,4.52
2070-04-08,5.13
2070-04-09,6.11
2070-04-10,4.60
2070-04-11,4.91
2070-04-12,3.83
2070-04-13,5.31
2070-04-14,4.96
2070-04-15,4.85
2070-04-16,4.52
2070-04-17,5.85
2070-04-18,5.39
2070-04-19,3.05
2070-04-20,2.02
2070-04-21,4.46
2070-04-22,5.02
2070-04-23,5.47
2070-04-24,5.16
2070-04-25,5.47
2070-04-26,5.62
2070-04-27,5.10
2070-04-28,4.87
2070-04-29,4.34
2070-04-30,4.87
2070-05-01,3.77
2070-05-02,4.46
2070-05-03,3.49
2070-05-04,4.66
2070-05-05,3.80
2070-05-06,3.27
2070-05-07,5.53
2070-05-08,6.01
2070-05-09,4.25
2070-05-10,4.86
2070-05-11,5.51
2070-05-12,6.14
2070-05-13,6.76
2070-05-14,6.37
2070-05-15,6.36
2070-05-16,7.91
2070-05-17,5.80
2070-05-18,6.70
2070-05-19,6.98
2070-05-20,7.80
2070-05-21,8.24
2070-05-22,8.06
2070-05-23,8.18
2070-05-24,7.82
2070-05-25,8.12
2070-05-26,7.20
2070-05-27,6.80
2070-05-28,7.10
2070-05-29,7.65
2070-05-30,7.50
2070-05-31,7.26
2070-06-01,7.57
2070-06-02,7.34
2070-06-03,7.09
2070-06-04,6.13
2070-06-05,7.12
2070-06-06,8.44
