2013 Shingle Creek Ridge Meterological Hourly Data (Summary),,,,,,,,
,,,,,,,,
Reference Dataset with the following format:,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,
,,,,,,,,
,,,,,,,,
,Column.Variable-units| Description,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,
,Note: -6999 denotes missing data,,,,,,,
,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm
1/1/2013 0:00,0,-13,0,23.60,92.5,299.7,0.26,34.24
1/1/2013 1:00,0,-12.7,0,24.30,92.6,288.2,0.04,34.18
1/1/2013 2:00,0,-12.5,0,24.10,92.9,256.7,0.03,34.11
1/1/2013 3:00,0,-12.7,0,24.50,92.6,135.8,0.1,34.05
1/1/2013 4:00,0,-13.1,0,26.61,92.5,146.5,0.04,33.99
1/1/2013 5:00,0,-13.1,0,25.44,92.6,0,0,33.93
1/1/2013 6:00,0,-13.4,0,24.54,92.7,0,0,33.87
1/1/2013 7:00,0,-13.6,0,21.11,92.2,0,0,33.81
1/1/2013 8:00,0,-13.3,0,8.50,92.2,104.1,0.1,33.76
1/1/2013 9:00,0,-13.7,0,4.33,92,320.3,0.39,33.7
1/1/2013 10:00,0,-13.1,48.5,11.06,91.8,60.5,0.23,33.64
1/1/2013 11:00,0,-11.9,108.7,-5.60,91.3,91.7,0.24,33.59
1/1/2013 12:00,0,-9.9,221.6,-4.80,89.5,68.6,0.68,33.54
1/1/2013 13:00,0,-11.1,148.1,-1.20,90.9,76.4,0.67,33.48
1/1/2013 14:00,0,-10.6,137.4,-6.90,91.3,89.1,0.56,33.43
1/1/2013 15:00,0,-11.5,99.1,-1.60,91.2,89.2,0.83,33.38
1/1/2013 16:00,0,-11.9,63.93,66.83,91.9,95.5,0.46,33.33
1/1/2013 17:00,0,-12.2,38.36,46.66,91.9,89.7,0.15,33.28
1/1/2013 18:00,0,-13.8,0,15.49,91.9,158.7,0.39,33.24
1/1/2013 19:00,0,-14.1,0,17.76,92.3,278.3,0.1,33.19
1/1/2013 20:00,0,-12.6,0,22.62,92.9,266.4,0.1,33.15
1/1/2013 21:00,0,-11.8,0,20.00,93.1,289.9,0.21,33.1
1/1/2013 22:00,0,-10.6,0,27.19,93.2,291.6,0.09,33.06
1/1/2013 23:00,0,-12.7,0,22.20,93.1,305.6,0.06,33.02
1/2/2013 0:00,0,-12.1,0,17.88,92.8,174.8,0.11,32.98
1/2/2013 1:00,0,-12.7,0,13.40,92.4,171.4,0.17,32.95
1/2/2013 2:00,0,-14.1,0,18.20,91.9,271.1,0.06,32.91
1/2/2013 3:00,0,-14.1,0,24.42,91.9,317.2,0.06,32.88
1/2/2013 4:00,0,-15.4,0,16.89,91,155.6,0.12,32.84
1/2/2013 5:00,0,-16,0,18.57,90.6,0,0,32.81
1/2/2013 6:00,0,-15.8,0,13.60,90.8,0,0,32.78
1/2/2013 7:00,0,-16.2,0,20.69,90.6,0,0,32.75
1/2/2013 8:00,0,-15.7,0,6.81,91,0,0,32.73
1/2/2013 9:00,0,-15.3,0,-2.97,90.9,314,0.06,32.7
1/2/2013 10:00,0,-14.8,50.12,7.08,90.3,288.4,0.13,32.68
1/2/2013 11:00,0,-13.5,114.1,15.50,90.2,323.8,0.21,32.66
1/2/2013 12:00,0,-11.2,196.1,0.10,89.1,48.7,0.09,32.64
1/2/2013 13:00,0,-11.1,229.1,-11.80,88.5,316.3,0.8,32.62
1/2/2013 14:00,0,-10.3,286,296.20,87.3,70.2,0.97,32.6
1/2/2013 15:00,0,-10.6,218.9,13.50,87.7,76.9,0.86,32.58
1/2/2013 16:00,0,-9.1,221.6,248.50,85.7,72.2,0.74,32.56
1/2/2013 17:00,0,-11.3,70.86,46.84,87.3,91.8,0.49,32.54
1/2/2013 18:00,0,-14.1,0,15.32,91.2,150.2,0.02,32.52
1/2/2013 19:00,0,-14.7,0,16.50,91.5,196.5,0.1,32.5
1/2/2013 20:00,0,-15.4,0,23.47,91.3,92.2,0.04,32.48
1/2/2013 21:00,0,-15.6,0,22.17,91.1,196.3,0.07,32.46
1/2/2013 22:00,0,-16.1,0,21.35,91,339,0,32.44
1/2/2013 23:00,0,-13.6,0,16.60,92.3,309.6,0.62,32.42
1/3/2013 0:00,0,-14.2,0,23.60,91.7,281.7,0.14,32.39
1/3/2013 1:00,0,-14.1,0,23.30,91.8,216.5,0.08,32.41
1/3/2013 2:00,0,-14.5,0,22.50,92.6,227.5,0.09,32.43
1/3/2013 3:00,0,-13.3,0,25.91,92.7,184.2,0.07,32.46
1/3/2013 4:00,0,-11.9,0,26.40,93.5,117.4,0.15,32.48
1/3/2013 5:00,0,-11.5,0,25.58,93.1,152.1,0.45,32.5
1/3/2013 6:00,0,-12.5,0,30.23,92.1,110.6,0.08,32.52
1/3/2013 7:00,0,-13.6,0,27.34,92.2,182.1,0.17,32.54
1/3/2013 8:00,0,-13.3,0,27.09,92.6,167.5,0.13,32.56
1/3/2013 9:00,0,-12.9,0,16.68,92.2,165.3,0.33,32.58
1/3/2013 10:00,0,-12.4,58.11,44.76,91.7,149.9,0.08,32.6
1/3/2013 11:00,0,-9.1,158.8,31.70,89.9,124.4,0.18,32.61
1/3/2013 12:00,0,-3.5,296.7,49.60,77.78,80.9,0.44,32.63
1/3/2013 13:00,0,-3.7,338.1,58.70,70.83,1.8,0.9,32.64
1/3/2013 14:00,0,-3,383.2,408.60,67.56,20.5,0.71,32.66
1/3/2013 15:00,0,-2.5,383.2,173.80,65.09,103.4,0.52,32.67
1/3/2013 16:00,0,-3.9,313.6,342.80,65.77,87.1,0.6,32.68
1/3/2013 17:00,0,-2.2,158.7,119.04,44.02,243.7,1.58,32.69
