2000 Treeline Meterological Hourly Data (Summary),,,,,,,,,
,,,,,,,,,
Reference Dataset with the following format:,,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Column.Variable-units| Description,,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,,
,Note: -6999 denotes missing data,,,,,,,,
,,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm,
01/01/2000 00:00,0.00,-1.5,-6999,-6999,88.30,348.3,2.97,7.38,
01/01/2000 01:00,0.10,-1.4,-6999,-6999,86.10,344.1,1.49,7.58,
01/01/2000 02:00,0.10,-2.3,-6999,-6999,90.10,316.2,0.54,7.87,
01/01/2000 03:00,0.10,-2.8,-6999,-6999,93.90,309.9,1.04,8.16,
01/01/2000 04:00,0.10,-2.7,-6999,-6999,93.60,301.6,0.75,7.95,
01/01/2000 05:00,0.10,-2.7,-6999,-6999,90.70,327.0,1.14,8.34,
01/01/2000 06:00,0.20,-3.4,-6999,-6999,93.90,321.7,0.35,8.33,
01/01/2000 07:00,0.20,-3.0,-6999,-6999,92.30,319.7,0.33,8.53,
01/01/2000 08:00,0.20,-3.4,-6999,-6999,94.40,19.3,0.11,8.52,
01/01/2000 09:00,0.20,-3.6,-6999,-6999,93.60,307.6,0.53,8.53,
01/01/2000 10:00,0.20,-3.2,-6999,-6999,91.70,326.3,0.58,8.54,
01/01/2000 11:00,0.40,-1.0,-6999,-6999,79.00,313.1,0.85,8.35,
01/01/2000 12:00,0.40,-0.6,-6999,-6999,78.00,293.1,0.46,8.37,
01/01/2000 13:00,0.40,-1.4,-6999,-6999,82.30,179.2,0.54,8.37,
01/01/2000 14:00,0.40,-1.6,-6999,-6999,84.50,239.4,0.51,8.37,
01/01/2000 15:00,0.40,-2.2,-6999,-6999,88.60,246.2,0.44,8.46,
01/01/2000 16:00,0.40,-2.1,-6999,-6999,84.80,245.7,0.75,8.45,
01/01/2000 17:00,0.40,-2.7,-6999,-6999,84.90,276.5,0.74,8.55,
01/01/2000 18:00,0.40,-3.4,-6999,-6999,87.40,281.4,0.90,8.54,
01/01/2000 19:00,0.40,-4.6,-6999,-6999,94.40,305.5,1.31,8.93,
01/01/2000 20:00,0.40,-5.2,-6999,-6999,91.40,334.2,2.97,8.33,
01/01/2000 21:00,0.40,-5.4,-6999,-6999,93.70,318.5,2.24,9.20,
01/01/2000 22:00,0.40,-5.5,-6999,-6999,86.60,326.5,3.19,9.30,
01/01/2000 23:00,0.40,-5.2,-6999,-6999,77.30,339.6,3.72,9.49,
01/02/2000 00:00,0.40,-5.5,-6999,-6999,75.30,315.4,2.36,9.48,
01/02/2000 01:00,0.40,-5.6,-6999,-6999,84.00,314.4,2.77,9.48,
01/02/2000 02:00,0.40,-6.0,-6999,-6999,83.90,308.5,2.04,9.29,
01/02/2000 03:00,0.40,-6.6,-6999,-6999,86.80,307.0,1.83,9.29,
01/02/2000 04:00,0.40,-6.8,-6999,-6999,86.80,305.8,1.62,9.29,
01/02/2000 05:00,0.40,-7.1,-6999,-6999,88.80,309.5,1.43,8.90,
01/02/2000 06:00,0.40,-7.4,-6999,-6999,91.70,305.7,1.31,10.15,
01/02/2000 07:00,0.40,-7.6,-6999,-6999,93.60,305.0,1.46,9.76,
01/02/2000 08:00,0.40,-7.6,-6999,-6999,93.50,303.3,1.34,10.34,
01/02/2000 09:00,0.40,-7.6,-6999,-6999,94.00,301.2,1.11,10.64,
01/02/2000 10:00,0.40,-7.1,-6999,-6999,93.60,298.6,1.17,11.71,
01/02/2000 11:00,0.40,-6.8,-6999,-6999,94.40,285.9,0.81,12.79,
01/02/2000 12:00,0.40,-6.4,-6999,-6999,94.80,280.9,0.84,12.79,
01/02/2000 13:00,0.40,-6.0,-6999,-6999,94.40,272.1,0.73,13.28,
01/02/2000 14:00,0.40,-5.5,-6999,-6999,94.50,255.0,0.40,13.29,
01/02/2000 15:00,0.40,-6.0,-6999,-6999,95.20,222.0,0.37,14.55,
01/02/2000 16:00,0.40,-6.2,-6999,-6999,95.50,256.1,0.43,13.87,
01/02/2000 17:00,0.40,-5.9,-6999,-6999,96.40,294.0,0.73,15.13,
01/02/2000 18:00,0.70,-5.9,-6999,-6999,97.10,302.1,2.03,13.96,
01/02/2000 19:00,1.60,-6.2,-6999,-6999,96.40,313.9,2.07,15.02,
01/02/2000 20:00,2.10,-7.1,-6999,-6999,95.40,318.1,2.30,17.06,
01/02/2000 21:00,2.20,-7.5,-6999,-6999,95.30,303.0,2.19,17.15,
01/02/2000 22:00,2.20,-7.8,-6999,-6999,95.00,312.1,2.40,17.05,
01/02/2000 23:00,2.20,-7.9,-6999,-6999,95.20,313.0,1.62,16.86,
01/03/2000 00:00,7.10,-8.3,-6999,-6999,94.80,324.3,1.68,16.86,
01/03/2000 01:00,7.20,-8.4,-6999,-6999,94.00,346.7,1.83,16.85,
01/03/2000 02:00,7.20,-8.3,-6999,-6999,93.40,12.9,1.92,16.86,
01/03/2000 03:00,7.20,-8.2,-6999,-6999,92.10,12.5,1.62,16.66,
01/03/2000 04:00,7.20,-7.9,-6999,-6999,88.10,341.1,1.84,16.57,
01/03/2000 05:00,7.20,-7.5,-6999,-6999,86.40,338.5,2.38,16.66,
01/03/2000 06:00,7.20,-7.4,-6999,-6999,86.60,335.2,1.46,16.66,
01/03/2000 07:00,7.20,-7.4,-6999,-6999,87.70,355.9,1.33,16.47,
01/03/2000 08:00,7.20,-7.5,-6999,-6999,90.20,337.4,0.77,16.47,
01/03/2000 09:00,7.20,-7.3,-6999,-6999,88.80,348.4,0.91,16.28,
