2001 Treeline Meterological Hourly Data (Summary),,,,,,,,
,,,,,,,,
Reference Dataset with the following format:,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,
,,,,,,,,
,,,,,,,,
,Column.Variable-units| Description,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,
,Note: -6999 denotes missing data,,,,,,,
,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm
01/01/01 00:00,0.00,-4.2,0.00,-6999,82.20,99.7,0.52,58.65
01/01/01 01:00,0.04,-5.2,0.00,-6999,86.70,32.4,0.84,58.87
01/01/01 02:00,0.04,-5.2,0.00,-6999,84.40,5.6,0.59,58.88
01/01/01 03:00,0.04,-7.1,0.00,-6999,93.40,323.6,0.59,58.13
01/01/01 04:00,0.04,-7.9,0.00,-6999,94.40,310.0,0.52,58.11
01/01/01 05:00,0.04,-6.0,0.00,-6999,88.60,298.6,0.60,58.62
01/01/01 06:00,0.04,-6.3,0.00,-6999,87.10,29.1,0.65,59.12
01/01/01 07:00,0.04,-0.1,0.00,-6999,55.45,44.2,3.02,59.16
01/01/01 08:00,0.04,-3.2,6.34,-6999,61.94,45.7,1.57,58.68
01/01/01 09:00,0.04,-1.8,102.58,-6999,51.58,32.5,1.64,58.45
01/01/01 10:00,0.04,-4.1,126.70,-6999,76.10,77.5,1.18,58.68
01/01/01 11:00,0.06,-2.4,275.10,-6999,68.68,347.8,0.63,58.21
01/01/01 12:00,0.12,-0.1,377.90,-6999,64.35,276.2,0.90,57.99
01/01/01 13:00,0.16,2.0,377.80,-6999,58.79,291.4,1.07,58.78
01/01/01 14:00,0.18,2.5,337.53,-6999,52.35,340.5,1.87,58.81
01/01/01 15:00,0.18,2.9,219.65,-6999,44.85,7.6,2.24,58.57
01/01/01 16:00,0.18,2.9,71.51,-6999,40.05,354.8,1.44,59.55
01/01/01 17:00,0.18,1.8,8.24,-6999,42.90,348.2,1.01,59.28
01/01/01 18:00,0.18,-0.8,0.00,-6999,53.79,325.0,0.69,58.74
01/01/01 19:00,0.18,0.1,0.00,-6999,39.27,28.3,0.70,59.20
01/01/01 20:00,0.18,-1.4,0.00,-6999,50.29,342.4,1.59,58.71
01/01/01 21:00,0.18,-8.6,0.00,-6999,94.90,25.4,1.07,58.90
01/01/01 22:00,0.18,-6.3,0.00,-6999,82.40,306.4,0.46,58.13
01/01/01 23:00,0.18,-9.9,0.00,-6999,93.70,204.1,0.22,58.10
01/02/01 00:00,0.18,-8.9,0.00,-6999,91.90,84.3,0.43,59.07
01/02/01 01:00,0.18,-9.5,0.00,-6999,93.60,18.1,0.30,57.58
01/02/01 02:00,0.18,-9.4,0.00,-6999,95.00,75.7,0.93,57.34
01/02/01 03:00,0.18,-9.9,0.00,-6999,93.40,20.5,0.26,57.10
01/02/01 04:00,0.18,-8.3,0.00,-6999,93.60,345.9,0.60,58.59
01/02/01 05:00,0.18,-8.8,0.00,-6999,94.10,305.9,1.28,57.12
01/02/01 06:00,0.18,-9.2,0.00,-6999,93.70,291.2,0.52,57.12
01/02/01 07:00,0.18,-9.2,0.00,-6999,93.40,316.4,0.36,57.12
01/02/01 08:00,0.18,-9.4,8.06,-6999,93.20,358.7,0.60,56.62
01/02/01 09:00,0.18,-8.6,73.19,-6999,94.30,37.8,0.66,56.62
01/02/01 10:00,0.18,-8.1,223.95,-6999,93.60,228.8,0.28,56.14
01/02/01 11:00,0.18,-6.1,399.08,-6999,92.70,104.4,0.99,58.13
01/02/01 12:00,0.18,0.5,303.18,-6999,66.12,146.4,1.14,56.74
01/02/01 13:00,0.18,-5.3,206.70,-6999,86.90,197.2,0.59,57.25
01/02/01 14:00,0.18,-6.4,222.03,-6999,92.30,168.6,0.64,57.23
01/02/01 15:00,0.18,-5.0,211.90,-6999,89.60,273.2,0.55,57.47
01/02/01 16:00,0.18,-6.0,84.38,-6999,91.90,268.3,0.89,57.46
01/02/01 17:00,0.18,-6.7,9.48,-6999,94.90,269.7,0.42,57.18
01/02/01 18:00,0.18,-2.9,0.00,-6999,65.21,108.4,0.53,57.17
01/02/01 19:00,0.18,-6.6,0.00,-6999,86.60,289.4,0.79,57.66
01/02/01 20:00,0.18,-0.7,0.00,-6999,49.22,66.6,0.54,57.68
01/02/01 21:00,0.18,2.2,0.00,-6999,34.86,94.5,0.87,57.74
01/02/01 22:00,0.18,-4.9,0.00,-6999,76.60,306.7,1.42,57.24
01/02/01 23:00,0.18,-5.0,0.00,-6999,74.60,297.8,0.97,57.44
01/03/01 00:00,0.18,-6.1,0.00,-6999,79.60,306.4,1.42,57.15
01/03/01 01:00,0.18,-4.2,0.00,-6999,66.04,301.4,1.04,57.15
01/03/01 02:00,0.18,-2.7,0.00,-6999,55.02,46.5,0.56,57.17
01/03/01 03:00,0.18,0.3,0.00,-6999,37.37,130.7,1.89,57.20
01/03/01 04:00,0.18,1.4,0.00,-6999,36.47,133.6,1.63,57.74
01/03/01 05:00,0.18,0.4,0.00,-6999,39.53,52.6,0.33,57.74
01/03/01 06:00,0.18,-1.5,0.00,-6999,49.30,127.4,1.06,57.21
01/03/01 07:00,0.18,-2.7,0.00,-6999,55.85,123.6,1.82,57.45
01/03/01 08:00,0.18,-0.3,5.26,-6999,39.70,256.0,0.45,57.71
01/03/01 09:00,0.18,-0.6,101.02,-6999,40.95,37.0,1.06,57.22
01/03/01 10:00,0.18,2.7,233.98,-6999,30.84,157.4,0.64,56.50
01/03/01 11:00,0.18,3.2,343.40,-6999,34.35,190.2,0.55,56.56
01/03/01 12:00,0.18,5.5,397.20,-6999,25.93,275.5,0.62,56.59
01/03/01 13:00,0.18,4.6,388.83,-6999,31.72,200.6,0.41,56.37
