2011 Treeline Meterological Hourly Data (Summary),,,,,,,,
,,,,,,,,
Reference Dataset with the following format:,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise state University",,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,
,,,,,,,,
,,,,,,,,
,Column.Variable-units| Description,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,
,Note: -6999 denotes missing data,,,,,,,
,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm
01/01/11 00:00,0.00,-14.1,0.00,-40.56,71.50,307.2,0.49,68.22
01/01/11 01:00,0.00,-13.9,0.00,-39.50,73.30,304.2,0.72,67.88
01/01/11 02:00,0.00,-14.1,0.00,-39.71,71.20,321.3,1.69,68.23
01/01/11 03:00,0.00,-13.6,0.00,-32.06,66.82,327.1,0.97,67.90
01/01/11 04:00,0.00,-13.1,0.00,-34.82,65.98,304.6,0.66,67.56
01/01/11 05:00,0.00,-13.8,0.00,-35.25,67.05,308.3,0.46,67.89
01/01/11 06:00,0.00,-14.0,0.00,-26.76,70.40,313.8,0.32,67.71
01/01/11 07:00,0.00,-13.7,0.00,-24.42,69.35,304.3,0.00,67.37
01/01/11 08:00,0.00,-14.1,7.52,-29.52,69.45,314.3,0.10,67.37
01/01/11 09:00,0.00,-14.3,126.19,-86.90,73.20,322.0,0.18,67.37
01/01/11 10:00,0.00,-11.0,289.85,-74.10,57.96,136.3,0.28,66.88
01/01/11 11:00,0.00,-9.1,381.38,-9.12,49.57,271.7,0.28,66.40
01/01/11 12:00,0.00,-7.9,427.28,43.69,44.77,219.9,0.17,66.27
01/01/11 13:00,0.00,-6.6,428.63,107.10,45.88,233.2,0.08,65.97
01/01/11 14:00,0.00,-8.8,366.65,152.00,59.11,220.3,0.21,66.16
01/01/11 15:00,0.00,-10.7,251.80,128.90,69.92,206.2,0.40,65.80
01/01/11 16:00,0.00,-12.0,32.63,-41.35,77.80,186.2,0.75,66.62
01/01/11 17:00,0.00,-13.1,7.31,-27.80,80.70,267.0,0.39,66.57
01/01/11 18:00,0.00,-13.1,0.00,-32.05,76.60,219.7,0.26,66.54
01/01/11 19:00,0.00,-13.2,0.00,-29.94,79.90,186.4,0.56,66.54
01/01/11 20:00,0.00,-13.2,0.00,-29.51,79.70,193.4,0.49,66.54
01/01/11 21:00,0.00,-13.5,0.00,-9.98,81.20,203.4,0.30,66.54
01/01/11 22:00,0.00,-12.6,0.00,-33.12,71.10,65.9,0.91,66.20
01/01/11 23:00,0.00,-12.1,0.00,-19.74,61.47,307.5,1.10,66.55
01/02/11 00:00,0.00,-12.4,0.00,10.40,64.85,352.6,0.20,66.21
01/02/11 01:00,0.00,-12.1,0.00,7.22,66.40,287.0,0.21,66.23
01/02/11 02:00,0.00,-11.9,0.00,6.15,65.01,39.9,0.22,66.23
01/02/11 03:00,0.00,-11.2,0.00,5.30,63.25,289.2,0.12,65.91
01/02/11 04:00,0.00,-10.8,0.00,5.73,63.66,300.3,0.27,65.92
01/02/11 05:00,0.00,-10.5,0.00,5.09,65.00,285.6,0.27,65.92
01/02/11 06:00,0.00,-10.2,0.00,3.18,66.56,300.3,0.23,65.58
01/02/11 07:00,0.00,-9.8,0.00,1.91,66.73,291.1,0.50,65.58
01/02/11 08:00,0.00,-10.5,6.24,1.49,73.60,359.3,0.11,65.58
01/02/11 09:00,0.00,-10.3,58.60,6.15,72.20,338.6,0.26,65.58
01/02/11 10:00,0.00,-9.6,138.03,19.94,64.94,113.3,0.40,65.24
01/02/11 11:00,0.00,-9.1,201.00,20.99,64.48,172.4,0.29,65.10
01/02/11 12:00,0.00,-9.4,233.85,33.93,72.10,275.0,0.56,64.94
01/02/11 13:00,0.00,-9.4,242.23,58.95,80.80,279.6,0.81,64.94
01/02/11 14:00,0.00,-10.4,275.68,37.74,89.50,236.5,0.57,64.94
01/02/11 15:00,0.00,-9.6,244.68,99.70,86.40,207.9,0.55,64.26
01/02/11 16:00,0.00,-8.5,33.70,-42.82,80.80,272.0,0.18,64.94
01/02/11 17:00,0.00,-10.0,6.75,-28.85,83.40,265.4,0.02,65.25
01/02/11 18:00,0.00,-10.7,0.00,-27.16,69.52,352.8,0.52,64.88
01/02/11 19:00,0.00,-10.2,0.00,-23.77,68.02,302.6,0.41,64.53
01/02/11 20:00,0.00,-10.5,0.00,-26.53,62.77,309.4,0.13,64.70
01/02/11 21:00,0.00,-11.3,0.00,-28.87,73.70,276.0,0.07,64.87
01/02/11 22:00,0.00,-12.2,0.00,-29.93,82.80,311.5,0.20,64.69
01/02/11 23:00,0.00,-12.2,0.00,-22.50,84.30,309.1,0.01,64.51
01/03/11 00:00,0.00,-12.5,0.00,-20.59,87.00,311.4,0.31,64.51
01/03/11 01:00,0.00,-12.6,0.00,-28.66,88.20,297.2,0.38,63.83
01/03/11 02:00,0.00,-12.9,0.00,-22.93,91.80,299.7,0.44,63.82
01/03/11 03:00,0.00,-13.3,0.00,-29.94,94.90,309.1,0.09,63.82
01/03/11 04:00,0.00,-13.2,0.00,-21.23,94.50,299.2,0.27,63.82
01/03/11 05:00,0.00,-13.2,0.00,-28.45,92.80,298.6,0.34,63.65
01/03/11 06:00,0.00,-12.7,0.00,-28.87,91.80,279.7,0.08,63.65
01/03/11 07:00,0.00,-12.8,0.00,-16.77,93.20,35.9,0.50,63.48
01/03/11 08:00,0.00,-13.0,6.02,-25.26,91.40,318.9,0.23,63.48
01/03/11 09:00,0.00,-12.6,153.10,-74.90,92.30,327.8,0.30,63.48
01/03/11 10:00,0.00,-8.0,305.33,-77.90,72.30,146.9,0.07,62.83
01/03/11 11:00,0.00,-6.7,433.65,-28.64,63.67,200.1,0.34,62.53
