2013 Treeline Meterological Hourly Data (Summary),,,,,,,,,
,,,,,,,,,
Reference Dataset with the following format:,,,,,,,,,
 ,[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University,,,,,,,
 ,URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 ,Column.Variable-units| Description,,,,,,,,
 ,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,,
 ,2. Precipitation-mm| Cumulative Shielded Rain gage depth [mm],,,,,,,,
 ,3. AirTemperature-C| Air Temperature at 2m above ground Averaged [C]],,,,,,,,
 ,4. SolarRadiation-Watts/m2| Solar Radiation Averaged [Watts/m2],,,,,,,,
 ,5. Net Radiation-Watts/m2| Net Radiation Averaged [Watts/m2],,,,,,,,
 ,6. Relative Humidity-percent| Relative Humidity at 2m above ground Averaged [percent],,,,,,,,
 ,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,,
 ,8. Wind Speed-m/s| Wind Speed at 2m above ground Averaged [m/s],,,,,,,,
 ,9.Snow Depth-cm| Filtered depth of snow above ground Acoustic Sensor [cm],,,,,,,,
 ,Note: -6999 denotes missing data,,,,,,,,
,,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm,
1/1/2013 0:00,0,-12.1,0,-6.16,92.9,317.7,1.46,20.59,
1/1/2013 1:00,0,-12.3,0,-10.61,93,331.1,1.25,20.65,
1/1/2013 2:00,0,-12.4,0,-9.13,92.8,355.2,1.55,20.72,
1/1/2013 3:00,0,-12.3,0,-15.07,92.6,327.7,1.19,20.8,
1/1/2013 4:00,0,-12,0,-4.25,93.3,308.2,1.37,20.87,
1/1/2013 5:00,0,-12.3,0,-8.49,92.9,302.1,1.1,20.94,
1/1/2013 6:00,0,-12.8,0,-7.22,93.3,299.2,1.46,21.02,
1/1/2013 7:00,0,-12.7,0,-3.18,93.1,316.3,1.15,21.09,
1/1/2013 8:00,0,-12.7,0.12,-4.03,92.7,288.3,1.67,21.16,
1/1/2013 9:00,0,-13,49.55,-10.4,92.8,302.9,1.21,21.22,
1/1/2013 10:00,0,-11.9,135.6,-7.43,92.3,238.2,1.34,21.29,
1/1/2013 11:00,0,-11,200.6,-9.55,92.6,160.4,1.29,21.35,
1/1/2013 12:00,0,-11,156.5,-34.78,92.9,185.9,0.9,21.43,
1/1/2013 13:00,0,-10.8,206.8,-68.28,92.4,235.5,1.02,21.49,
1/1/2013 14:00,0,-10.2,152.6,-41.99,92.4,197,0.74,21.52,
1/1/2013 15:00,0,-10.6,134.2,-24.17,92.6,218.9,0.88,21.54,
1/1/2013 16:00,0,-11,66.66,-16.12,92.9,177.5,0.99,21.54,
1/1/2013 17:00,0,-11.4,15.9,-1.06,93.4,217.6,0.77,21.52,
1/1/2013 18:00,0,-12.3,0,1.06,93.5,318,0.89,21.47,
1/1/2013 19:00,0,-13,0,-6.15,92.8,341.1,0.93,21.43,
1/1/2013 20:00,0,-13.9,0,-1.91,92.5,332.8,0.76,21.38,
1/1/2013 21:00,0,-14.1,0,-9.55,92.2,321.5,0.83,21.36,
1/1/2013 22:00,0,-13.3,0,-12.73,92.4,273.2,0.74,21.33,
1/1/2013 23:00,0,-14.2,0,-21.44,91.6,318.2,1,21.32,
1/2/2013 0:00,0,-13.6,0,0.64,92.2,293.6,0.73,21.3,
1/2/2013 1:00,0,-13.2,0,-14.22,92.4,65.7,0.81,21.29,
1/2/2013 2:00,0,-13.7,0,-0.42,91.8,44.9,0.8,21.26,
1/2/2013 3:00,0,-14.5,0,-1.7,91.1,285.8,0.67,21.21,
1/2/2013 4:00,0,-14.7,0,-4.67,91.1,302.1,0.63,21.15,
1/2/2013 5:00,0,-14.1,0,-0.85,91.3,269.7,0.63,21.11,
1/2/2013 6:00,0,-14.7,0,-5.31,90.5,353.5,0.63,21.1,
1/2/2013 7:00,0,-15,0,-2.34,90.7,10.6,0.64,21.1,
1/2/2013 8:00,0,-14.5,0,-2.97,91.1,13.2,0.63,21.13,
1/2/2013 9:00,0,-14,19.96,-8.28,91.6,102.8,0.65,21.2,
1/2/2013 10:00,0,-13.6,67.36,-9.13,91.5,136.1,0.66,21.31,
1/2/2013 11:00,0,-12.9,99.1,-31.19,91.4,178.1,0.66,21.47,
1/2/2013 12:00,0,-12,163.7,-32.67,91.3,208.7,0.64,21.68,
1/2/2013 13:00,0,-11.2,156.5,-32.66,91,213.3,0.65,21.89,
1/2/2013 14:00,0,-10.2,156.7,-41.14,90.7,190.7,0.64,22.12,
1/2/2013 15:00,0,-10.5,143.6,-19.93,91,185,0.63,22.35,
1/2/2013 16:00,0,-9.3,112.3,-4.67,93.2,221.5,0.63,22.56,
1/2/2013 17:00,0,-11.1,21.05,11.66,90.3,137.2,0.64,22.73,
1/2/2013 18:00,0,-12.9,0,-1.06,91.6,2.7,0.63,22.88,
1/2/2013 19:00,0,-13.6,0,8.91,91.2,346.9,0.65,22.98,
1/2/2013 20:00,0,-14.7,0,2.55,90.8,298.8,0.63,23.02,
1/2/2013 21:00,0,-15,0,-2.76,90.6,353.9,0.64,23,
1/2/2013 22:00,0,-15.7,0,-2.76,89.8,300.5,0.63,22.98,
1/2/2013 23:00,0,-13.9,0,1.27,92.6,279,0.64,22.94,
1/3/2013 0:00,0,-14.5,0,9.77,91.8,288.3,0.67,22.86,
1/3/2013 1:00,0,-14.1,0,-3.4,90.9,310.6,0.64,22.76,
1/3/2013 2:00,0,-14,0,-3.18,91.6,330.9,0.68,22.64,
1/3/2013 3:00,0,-13.2,0,-6.16,92.6,20.6,0.67,22.54,
1/3/2013 4:00,0,-12.4,0,0.21,93.5,346.1,0.64,22.43,
1/3/2013 5:00,0,-11.7,0,-0.21,93.5,315.4,0.63,22.31,
1/3/2013 6:00,0,-12.6,0,2.76,91.7,287.8,0.63,22.19,
1/3/2013 7:00,0,-13.6,0,7.85,91.9,290.8,0.63,22.08,
1/3/2013 8:00,0,-13.2,0.03,1.49,92.3,321.6,0.63,21.99,
1/3/2013 9:00,0,-12.4,77.4,-57.31,92.8,300.8,0.63,21.92,
1/3/2013 10:00,0,-5.9,244.7,-34.8,94.5,271.9,0.63,21.88,
1/3/2013 11:00,0,-2.2,414.6,-121.7,91.7,110.1,0.63,21.87,
1/3/2013 12:00,0,-1.5,347.1,-104.3,88.4,93.9,0.63,21.9,
1/3/2013 13:00,0,-1.2,312.1,193.2,74.1,168.1,0.67,21.95,
