
PFT: tree
year,PETwet,PETdry
1999,     nan,     nan
2000,     nan,     nan
2001,     nan,     nan
2002,     nan,     nan
2003,     nan,     nan
2004,     nan,     nan
2005,     nan,     nan
2006,     nan,     nan
2007,     nan,     nan
2008,  37.531,  59.907
2009,  31.055,  49.182
2010,  77.314,  46.744
2011, 239.942,  45.807
2012,  28.672,  85.098
2013,3012.766,1024.014
2014,  17.657,  27.344
wet season average = 492.134, dry season average = 191.157

PFT: grass
year,PETwet,PETdry
1999,     nan,     nan
2000,     nan,     nan
2001,     nan,     nan
2002,     nan,     nan
2003,     nan,     nan
2004,     nan,     nan
2005,     nan,     nan
2006,     nan,     nan
2007,     nan,     nan
2008,  37.470,  59.760
2009,  30.995,  49.027
2010,  77.262,  46.595
2011, 239.884,  45.646
2012,  28.610,  84.966
2013,3012.703,1023.898
2014,  17.520,  27.119
wet season average = 492.063, dry season average = 191.002

PFT: bare
year,PETwet,PETdry
1999,     nan,     nan
2000,     nan,     nan
2001,     nan,     nan
2002,     nan,     nan
2003,     nan,     nan
2004,     nan,     nan
2005,     nan,     nan
2006,     nan,     nan
2007,     nan,     nan
2008,  37.494,  59.819
2009,  31.019,  49.089
2010,  77.283,  46.655
2011, 239.907,  45.710
2012,  28.635,  85.019
2013,3012.728,1023.945
2014,  17.575,  27.209
wet season average = 492.092, dry season average = 191.064

PFT: shrub
year,PETwet,PETdry
1999,     nan,     nan
2000,     nan,     nan
2001,     nan,     nan
2002,     nan,     nan
2003,     nan,     nan
2004,     nan,     nan
2005,     nan,     nan
2006,     nan,     nan
2007,     nan,     nan
2008,  37.507,  59.848
2009,  31.031,  49.120
2010,  77.293,  46.685
2011, 239.919,  45.743
2012,  28.648,  85.045
2013,3012.741,1023.968
2014,  17.602,  27.254
wet season average = 492.106, dry season average = 191.095

PFT: tree
year,PETwet,PETdry
1999,     nan,     nan
2000,     nan,     nan
2001,     nan,     nan
2002,     nan,     nan
2003,     nan,     nan
2004,     nan,     nan
2005,     nan,     nan
2006,     nan,     nan
2007,     nan,     nan
2008,  37.531,  59.907
2009,  31.055,  49.182
2010,  77.314,  46.744
2011, 239.942,  45.807
2012,  28.672,  85.098
2013,3012.766,1024.014
2014,  17.657,  27.344
wet season average = 492.134, dry season average = 191.157

PFT: grass
year,PETwet,PETdry
1999,     nan,     nan
2000,     nan,     nan
2001,     nan,     nan
2002,     nan,     nan
2003,     nan,     nan
2004,     nan,     nan
2005,     nan,     nan
2006,     nan,     nan
2007,     nan,     nan
2008,  37.470,  59.760
2009,  30.995,  49.027
2010,  77.262,  46.595
2011, 239.884,  45.646
2012,  28.610,  84.966
2013,3012.703,1023.898
2014,  17.520,  27.119
wet season average = 492.063, dry season average = 191.002

PFT: bare
year,PETwet,PETdry
1999,     nan,     nan
2000,     nan,     nan
2001,     nan,     nan
2002,     nan,     nan
2003,     nan,     nan
2004,     nan,     nan
2005,     nan,     nan
2006,     nan,     nan
2007,     nan,     nan
2008,  37.494,  59.819
2009,  31.019,  49.089
2010,  77.283,  46.655
2011, 239.907,  45.710
2012,  28.635,  85.019
2013,3012.728,1023.945
2014,  17.575,  27.209
wet season average = 492.092, dry season average = 191.064

PFT: shrub
year,PETwet,PETdry
1999,     nan,     nan
2000,     nan,     nan
2001,     nan,     nan
2002,     nan,     nan
2003,     nan,     nan
2004,     nan,     nan
2005,     nan,     nan
2006,     nan,     nan
2007,     nan,     nan
2008,  37.507,  59.848
2009,  31.031,  49.120
2010,  77.293,  46.685
2011, 239.919,  45.743
2012,  28.648,  85.045
2013,3012.741,1023.968
2014,  17.602,  27.254
wet season average = 492.106, dry season average = 191.095

