date,maxtemp
2070-01-01,3.35
2070-01-02,4.30
2070-01-03,3.47
2070-01-04,3.57
2070-01-05,3.62
2070-01-06,3.85
2070-01-07,3.13
2070-01-08,3.39
2070-01-09,3.18
2070-01-10,2.94
2070-01-11,3.50
2070-01-12,5.11
2070-01-13,5.18
2070-01-14,4.73
2070-01-15,4.72
2070-01-16,4.32
2070-01-17,3.58
2070-01-18,3.51
2070-01-19,3.56
2070-01-20,3.55
2070-01-21,3.30
2070-01-22,2.77
2070-01-23,3.28
2070-01-24,3.67
2070-01-25,4.12
2070-01-26,4.46
2070-01-27,4.11
2070-01-28,5.07
2070-01-29,5.47
2070-01-30,7.00
2070-01-31,8.12
2070-02-01,7.62
2070-02-02,7.31
2070-02-03,7.37
2070-02-04,7.58
2070-02-05,9.02
2070-02-06,8.57
2070-02-07,8.46
2070-02-08,8.52
2070-02-09,8.44
2070-02-10,8.90
2070-02-11,9.15
2070-02-12,8.08
2070-02-13,7.97
2070-02-14,9.30
2070-02-15,9.46
2070-02-16,9.11
2070-02-17,9.75
2070-02-18,8.81
2070-02-19,8.00
2070-02-20,8.30
2070-02-21,8.72
2070-02-22,7.90
2070-02-23,7.53
2070-02-24,8.22
2070-02-25,9.55
2070-02-26,9.63
2070-02-27,10.15
2070-02-28,11.64
2070-03-01,12.76
2070-03-02,14.87
2070-03-03,14.24
2070-03-04,12.59
2070-03-05,12.96
2070-03-06,13.44
2070-03-07,11.73
2070-03-08,12.47
2070-03-09,13.33
2070-03-10,13.20
2070-03-11,14.40
2070-03-12,13.88
2070-03-13,13.86
2070-03-14,14.01
2070-03-15,13.66
2070-03-16,13.14
2070-03-17,12.59
2070-03-18,12.24
2070-03-19,13.83
2070-03-20,13.94
2070-03-21,14.00
2070-03-22,14.05
2070-03-23,14.33
2070-03-24,13.55
2070-03-25,12.32
2070-03-26,10.08
2070-03-27,9.92
2070-03-28,10.94
2070-03-29,10.85
2070-03-30,11.38
2070-03-31,12.74
2070-04-01,12.20
2070-04-02,12.48
2070-04-03,12.06
2070-04-04,12.68
2070-04-05,12.30
2070-04-06,14.44
2070-04-07,15.24
2070-04-08,14.69
2070-04-09,14.61
2070-04-10,16.24
2070-04-11,15.64
2070-04-12,14.86
2070-04-13,16.53
2070-04-14,16.03
2070-04-15,16.07
2070-04-16,16.69
2070-04-17,16.03
2070-04-18,15.51
2070-04-19,15.36
2070-04-20,17.36
2070-04-21,18.15
2070-04-22,17.87
2070-04-23,17.76
2070-04-24,17.39
2070-04-25,17.60
2070-04-26,16.67
2070-04-27,15.55
2070-04-28,15.94
2070-04-29,16.42
2070-04-30,18.03
2070-05-01,16.45
2070-05-02,15.28
2070-05-03,15.94
2070-05-04,16.26
2070-05-05,14.71
2070-05-06,15.12
2070-05-07,17.58
2070-05-08,17.26
2070-05-09,15.98
2070-05-10,15.81
2070-05-11,17.62
2070-05-12,17.22
2070-05-13,16.97
2070-05-14,16.62
2070-05-15,17.67
2070-05-16,18.67
2070-05-17,16.89
2070-05-18,18.26
2070-05-19,20.18
2070-05-20,19.19
2070-05-21,18.20
2070-05-22,19.97
2070-05-23,20.11
2070-05-24,19.28
2070-05-25,18.55
2070-05-26,17.44
2070-05-27,18.07
2070-05-28,19.32
2070-05-29,19.59
2070-05-30,20.40
2070-05-31,19.53
2070-06-01,18.27
2070-06-02,17.94
2070-06-03,17.93
2070-06-04,20.23
2070-06-05,21.42
2070-06-06,21.11
2070-06-07,20.67
2070-06-08,21.89
2070-06-09,23.11
2070-06-10,25.64
2070-06-11,25.75
2070-06-12,23.96
2070-06-13,23.31
2070-06-14,25.48
2070-06-15,26.24
2070-06-16,26.90
2070-06-17,26.20
2070-06-18,25.75
2070-06-19,25.73
2070-06-20,25.18
2070-06-21,26.69
2070-06-22,27.76
2070-06-23,28.17
2070-06-24,28.18
2070-06-25,29.08
2070-06-26,29.33
2070-06-27,29.58
2070-06-28,28.78
2070-06-29,29.71
2070-06-30,28.90
2070-07-01,28.35
2070-07-02,27.73
2070-07-03,26.20
2070-07-04,27.57
2070-07-05,28.74
2070-07-06,30.72
2070-07-07,31.40
2070-07-08,30.88
2070-07-09,29.64
2070-07-10,30.27
2070-07-11,30.83
2070-07-12,31.79
2070-07-13,31.71
2070-07-14,31.76
2070-07-15,31.38
2070-07-16,31.28
2070-07-17,31.96
2070-07-18,32.22
2070-07-19,33.60
2070-07-20,33.73
2070-07-21,32.50
2070-07-22,32.74
2070-07-23,33.13
2070-07-24,33.01
2070-07-25,33.46
2070-07-26,34.44
2070-07-27,33.97
2070-07-28,33.35
2070-07-29,32.70
2070-07-30,31.78
2070-07-31,32.65
2070-08-01,32.92
2070-08-02,33.12
2070-08-03,33.36
2070-08-04,33.28
2070-08-05,33.74
2070-08-06,33.74
2070-08-07,33.52
2070-08-08,32.55
2070-08-09,32.62
2070-08-10,33.12
2070-08-11,32.83
2070-08-12,32.27
2070-08-13,32.37
2070-08-14,32.04
2070-08-15,33.26
2070-08-16,32.32
2070-08-17,32.16
2070-08-18,31.75
2070-08-19,30.08
2070-08-20,29.72
2070-08-21,30.07
2070-08-22,29.84
2070-08-23,30.53
2070-08-24,31.89
2070-08-25,30.31
2070-08-26,30.17
2070-08-27,30.06
2070-08-28,29.55
2070-08-29,29.77
2070-08-30,28.96
2070-08-31,27.77
2070-09-01,28.43
2070-09-02,28.07
2070-09-03,25.88
2070-09-04,25.06
2070-09-05,26.75
2070-09-06,25.65
2070-09-07,25.91
2070-09-08,24.89
2070-09-09,24.18
2070-09-10,24.18
2070-09-11,23.25
2070-09-12,22.13
2070-09-13,25.01
2070-09-14,25.67
2070-09-15,27.12
2070-09-16,25.83
2070-09-17,24.92
2070-09-18,24.19
2070-09-19,25.41
2070-09-20,25.67
2070-09-21,24.56
2070-09-22,24.50
2070-09-23,24.31
2070-09-24,22.77
2070-09-25,20.43
2070-09-26,20.26
2070-09-27,19.52
2070-09-28,19.06
2070-09-29,17.21
2070-09-30,17.68
2070-10-01,18.77
2070-10-02,19.40
2070-10-03,18.62
2070-10-04,18.90
2070-10-05,19.77
2070-10-06,19.64
2070-10-07,18.58
2070-10-08,16.71
2070-10-09,18.40
2070-10-10,16.58
2070-10-11,17.86
2070-10-12,18.07
2070-10-13,17.75
2070-10-14,16.64
2070-10-15,16.07
2070-10-16,16.68
2070-10-17,16.59
2070-10-18,17.07
2070-10-19,16.99
2070-10-20,18.11
2070-10-21,18.68
2070-10-22,18.87
2070-10-23,17.91
2070-10-24,15.45
2070-10-25,15.02
2070-10-26,14.21
2070-10-27,14.94
2070-10-28,14.43
2070-10-29,13.53
2070-10-30,12.76
2070-10-31,14.00
2070-11-01,13.07
2070-11-02,11.79
2070-11-03,11.26
2070-11-04,12.18
2070-11-05,11.26
2070-11-06,10.73
2070-11-07,10.50
2070-11-08,9.44
2070-11-09,9.43
